stimulus-go-#5 , 3457.56013677
response-was-correct , 3457.98613677
trial-end , 3458.10813677
trial-begin , 3458.10813677
stimulus-nogo-#4 , 3459.35913677
response-was-missed , 3460.86008725
trial-end , 3460.86108725
trial-begin , 3460.86208725
stimulus-go-#4 , 3462.54815879
response-was-correct , 3462.99415879
trial-end , 3463.11415879
trial-begin , 3463.11415879
stimulus-go-#2 , 3464.73214737
response-was-correct , 3465.17614737
trial-end , 3465.29014737
trial-begin , 3465.29114737
stimulus-go-#2 , 3466.31017418
response-was-correct , 3466.76817418
trial-end , 3466.88217418
trial-begin , 3466.88317418
stimulus-go-#3 , 3468.41021164
response-was-correct , 3468.73721164
trial-end , 3468.85121164
trial-begin , 3468.85121164
stimulus-go-#4 , 3469.96330687
response-was-correct , 3470.32830687
trial-end , 3470.42630687
trial-begin , 3470.42730687
stimulus-go-#4 , 3472.00130565
response-was-correct , 3472.35330565
trial-end , 3472.44330565
trial-begin , 3472.44330565
stimulus-nogo-#3 , 3473.68328983
response-was-missed , 3475.18628983
trial-end , 3475.18628983
trial-begin , 3475.18728983
stimulus-go-#5 , 3476.887281
response-was-correct , 3477.263281
trial-end , 3477.378281
trial-begin , 3477.378281
stimulus-go-#2 , 3478.72843159
response-was-correct , 3479.16243159
trial-end , 3479.29043159
trial-begin , 3479.29043159
stimulus-go-#3 , 3480.61844168
response-was-correct , 3481.00944168
trial-end , 3481.13844168
trial-begin , 3481.13844168
stimulus-go-#1 , 3482.34348285
response-was-correct , 3482.72948285
trial-end , 3482.84548285
trial-begin , 3482.84548285
stimulus-go-#2 , 3484.15852379
response-was-correct , 3484.55752379
trial-end , 3484.67952379
trial-begin , 3484.68052379
stimulus-nogo-#5 , 3486.07447085
response-was-incorrect , 3486.44847085
trial-end , 3486.50647085
trial-begin , 3486.50647085
stimulus-go-#1 , 3488.24575048
response-was-correct , 3488.67475048
trial-end , 3488.79675048
trial-begin , 3488.79675048
stimulus-go-#1 , 3490.30061297
response-was-correct , 3490.66561297
trial-end , 3490.79461297
trial-begin , 3490.79461297
stimulus-nogo-#5 , 3491.96461899
response-was-missed , 3493.46661899
trial-end , 3493.46761899
trial-begin , 3493.46761899
stimulus-nogo-#0 , 3495.12360479
response-was-missed , 3496.62561286
trial-end , 3496.62661286
trial-begin , 3496.62661286
stimulus-go-#0 , 3497.96670578
response-was-correct , 3498.41670578
trial-end , 3498.53470578
